"","food_category","fraction","percentage"
"1","Alcoholic drinks","0.0330650621387119",3.30650621387119
"2","Dairy and eggs","0.114773789837538",11.4773789837538
"3","Fish and meat","0.0874385929065713",8.74385929065713
"4","Fruit and vegetable","0.275418183993161",27.5418183993161
"5","Grains","0.151867284978024",15.1867284978024
"6","Non-alcoholic drinks","0.0686291035457697",6.86291035457697
"7","Oils and sauces","0.042595835535482",4.2595835535482
"8","Readymade","0.0629592580343413",6.29592580343413
"9","Sweets","0.1632528890304",16.32528890304
"10","Beer","0.0139258878259196",1.39258878259196
"11","Spirits","0.00336065928463473",0.336065928463473
"12","Wine","0.0157785150281576",1.57785150281576
"13","Soft drinks","0.0308954507692107",3.08954507692107
"14","Tea and coffee","0.0060476633455534",0.60476633455534
"15","Water","0.0316859894310056",3.16859894310056
"16","Dairy","0.103738221007225",10.3738221007225
"17","Eggs","0.0110355688303134",1.10355688303134
"18","Fats and oils","0.0285645216898056",2.85645216898056
"19","Sauces","0.0140313138456765",1.40313138456765
"20","Fish","0.0209362645743469",2.09362645743469
"21","Red meat","0.0468519700752253",4.68519700752253
"22","Poultry","0.0196503582569991",1.96503582569991
