"","category","fraction","percentage"
"1","Dairy and eggs","0.127720593091366",12.7720593091366
"2","Fish and meat","0.0973019262398487",9.73019262398487
"3","Fruit and vegetables","0.306260644586749",30.6260644586749
"4","Grains","0.169196439419802",16.9196439419802
"5","Oils and sauces","0.0474068580717062",4.74068580717062
"6","Readymade","0.0701667054246867",7.01667054246867
"7","Sweets","0.181946833165842",18.1946833165842
"8","Dairy","0.115444444165714",11.5444444165714
"9","Eggs","0.0122761489256517",1.22761489256517
"10","Fats and oils","0.0317927468648361",3.17927468648361
"11","Sauces","0.0156141112068701",1.56141112068701
"12","Fish","0.0232846162653375",2.32846162653375
"13","Red meat","0.0521481214509111",5.21481214509111
"14","Poultry","0.0218691885236001",2.18691885236001
